台灣
TPE: TAIPEI-CHIANG KAI SHEK, 台灣桃園
MOW: MOSCOW, 俄羅斯莫斯科

MPL: MONTPELLIER, 法國蒙彼利埃

MUC: MUNICH, 德國慕尼黑

MXP: MILAN-MALPENSA, 義大利米蘭

LIN: MILAN-LINATE, 義大利米蘭

NAP: NAPLES, 義大利那不勒斯

NCL: NEW CASTLE, 英國新堡

NCE: NICE, 法國尼斯

NWI: NORWICH, 英國諾里奇

ODS: ODESSA, 烏克蘭敖德薩

OSL: OSLO, 挪威奧斯陸

CDG: PARIS-CHARLES DE GAULLE, 法國巴黎

ORY: PARIS-ORLY, 法國巴黎

PRG: PRAGUE, 捷克布拉格

RIX: RIGA, 拉脫維亞里加

FCO: ROME, 義大利羅馬

SZG: SALZBURG, 奧地利薩爾茨堡

SNN: SHANNON, 愛爾蘭香農

SOF: SOFIA, 保加利亞索非亞

SPU: SPLIT, 克羅埃西亞斯普利特

STO: STOCKHOLM, 瑞典斯德哥爾摩

LED: ST PETERSBURG, 俄羅斯聖彼得堡

STR: STUTTGART, 德國斯圖加特

TLL: TALLINN, 愛沙尼亞塔林

MME: TEESSIDE, 英國提賽德

TSR: TIMISOARA, 羅馬尼亞蒂米什瓦拉

TLS: TOULOUSE, 法國土魯斯

VRN: VERONA, 義大利維羅納

VCE: VENICE, 義大利威尼斯

VIE: VIENNA, 奧地利維也納

VNO: VILNIUS, 立陶宛維爾紐斯

WAW: WARSAW, 波蘭華沙

WRO: WROCLAW, 波蘭弗羅茨瓦夫

ZAG: ZAGREB, 克羅埃西亞薩格勒布

ZRH: ZURICH, 瑞士蘇黎世

中南美洲
ACA: ACAPUCCO, 墨西哥阿卡普爾科

ASU: ASUNCION, 巴拉圭亞松森

BOG: BOGOTA, 哥倫比亞波哥大

BUE: BUENDS AIRES, 阿根廷布宜諾斯艾利斯

BSB: BRASILIA, 巴西巴西利亞

BGI: BRIDGE TOWN, 巴貝多橋鎮

CCS: CARACAS, 委內瑞拉加拉加斯

CAY: CAYENNE, 法屬圭亞那卡宴

GRG: GEORGE TOWN, 蓋亞那喬治市

GUA: GUATEMALA CITY, 瓜地馬拉瓜地馬拉市

HAV: HAVANA, 古巴哈瓦那

KIN: KINGSTON, 牙買加京士頓

LPB: LA PAZ, 玻利維亞拉巴斯

LIM: LIMA, 秘魯利馬

MGA: MANAGUA, 尼加拉瓜馬拿瓜

MAO: MANAUS, 巴西瑪瑙斯

MAY: MANGROVE CAY, 巴哈馬紅樹灣

MEX: MEXICO CITY, 墨西哥墨西哥城

MVD: MONTEBIDEO, 烏拉圭蒙特維多

MBJ: MONTEGO BAY, 牙買加蒙特哥灣

PTY: PANAMA CITY, 巴拿馬巴拿馬城

PBM: PARAMARIBO, 蘇利南巴拉馬利波

